sr b Me
0.000000000000000000e+00 8.903956096513198304e+01 3.505145834537167104e+00
3.473585598876117314e-02 8.783389973380621996e+01 3.507108747021075335e+00
7.482042039439482095e-02 8.525884799636072842e+01 3.516386223254561738e+00
1.234839278572472804e-01 8.243244410674802225e+01 3.534606894527136056e+00
1.784446428961926345e-01 7.946822117669464092e+01 3.562901519622016622e+00
2.384127851009357479e-01 7.642841541477598355e+01 3.601933579100834670e+00
3.025741049798839621e-01 7.335922380226828921e+01 3.651994292189145508e+00
3.703585601336097932e-01 7.029820291837020818e+01 3.713061386158156285e+00
4.413396171464763484e-01 6.727659711954460420e+01 3.784849867006352397e+00
5.151845551806014667e-01 6.432016357102378379e+01 3.866863073670049555e+00
5.916269894323011869e-01 6.144954994658186820e+01 3.958444276289267094e+00
6.704501003509887314e-01 5.868060719694182836e+01 4.058826411901692133e+00
7.514754664361797953e-01 5.602477046821179840e+01 4.167177194926364514e+00
8.345550671294030831e-01 5.348953222778568062e+01 4.282637536316355131e+00
9.195652340670146252e-01 5.107898389084378010e+01 4.404352248887926535e+00
1.006401909297371278e+00 4.879438620945591509e+01 4.531492995174168925e+00
1.094976853949996221e+00 4.663472953143612187e+01 4.663274151397662770e+00
1.185214591834975240e+00 4.459725375380642021e+01 4.798962672039864152e+00
1.277049942981855812e+00 4.267790879813803429e+01 4.937883187177281030e+00
1.370426038917428313e+00 4.087174657938572153e+01 5.079419527194426465e+00
1.465292732753346483e+00 3.917324332060474035e+01 5.223013724845940509e+00
1.561605331574823730e+00 3.757655638468864367e+01 5.368163354685721700e+00
1.659323590003494830e+00 3.607572284687096698e+01 5.514417875822975823e+00
1.758410913627303174e+00 3.466480834860389848e+01 5.661374469011329680e+00
1.858833729703364579e+00 3.333801490483401864e+01 5.808673713334227884e+00
1.960560990227901534e+00 3.208975574885552362e+01 5.955995333064894481e+00
2.063563779126101227e+00 3.091470434101321985e+01 6.103054159022582859e+00
2.167815000959754546e+00 2.980782357688224948e+01 6.249596386367052503e+00
2.273289133240742110e+00 2.876438015387755343e+01 6.395396167318647684e+00
