sr b Me
0.000000000000000000e+00 8.970951456810338698e+01 1.927695649242170850e+00
1.724925639046718086e-03 8.934465540282097606e+01 1.927860345385842278e+00
3.715938973402623923e-03 8.856324724204972654e+01 1.928640586753738617e+00
6.134192648141560504e-03 8.769934391624435932e+01 1.930181805060111833e+00
8.867406557023232647e-03 8.678213713760987957e+01 1.932598488033467898e+00
1.185269722796915629e-02 8.582474524776378644e+01 1.935979112256041912e+00
1.505079885313354883e-02 8.483531387809004798e+01 1.940394943482171897e+00
1.843445300446622942e-02 8.381964574575091831e+01 1.945904316810251000e+00
2.198330263199636467e-02 8.278223532017706532e+01 1.952554965690298072e+00
2.568134604930400605e-02 8.172676770030882665e+01 1.960385436046215402e+00
2.951552723345302054e-02 8.065638968381777829e+01 1.969426027480044139e+00
3.347489093406662980e-02 7.957386907709476986e+01 1.979699477290946863e+00
3.755004494401724402e-02 7.848169351510469482e+01 1.991221502892676964e+00
4.173280158441521753e-02 7.738213410418511273e+01 2.004001268357707755e+00
4.601592969313104270e-02 7.627728747477708282e+01 2.018041813587334588e+00
5.039297779183984222e-02 7.516910403418629016e+01 2.033340468592819583e+00
5.485814471547712651e-02 7.405940713283254695e+01 2.049889265400220317e+00
5.940618276789128710e-02 7.294990612671142571e+01 2.067675353632516977e+00
6.403232365310256025e-02 7.184220529590420767e+01 2.086681421558166605e+00
6.873222062630768292e-02 7.073780994770527286e+01 2.106886121593249062e+00
7.350190235078780943e-02 6.963813062787134811e+01 2.128264497470319316e+00
7.833773529479699793e-02 6.854448609411042526e+01 2.150788409262960776e+00
8.323639241740328487e-02 6.745810552075369060e+01 2.174426951988205570e+00
8.819482652805409051e-02 6.638013027236063124e+01 2.199146863455779588e+00
9.321024715504100389e-02 6.531161548854254306e+01 2.224912917280135183e+00
9.828010008181714552e-02 6.425353165123576105e+01 2.251688297426095442e+00
1.034020489452177338e-01 6.320676625184947284e+01 2.279434951245205010e+00
1.085739584612606112e-01 6.217212563449206897e+01 2.308113918615525950e+00
1.137938789695820962e-01 6.115033705974116884e+01 2.337685635472609214e+00
1.190600320787979505e-01 6.014205100904086976e+01 2.368110210675431926e+00
1.243707972608786294e-01 5.914784373125932149e+01 2.399347675760349130e+00
1.297246992894175999e-01 5.816822001911031492e+01 2.431358207679505501e+00
1.351203964492662668e-01 5.720361619316444290e+01 2.464102325086701573e+00
1.405566694670649930e-01 5.625440326435033001e+01 2.497541059118927098e+00
1.460324111265261238e-01 5.532089024161623314e+01 2.531636099925479222e+00
1.515466165410686017e-01 5.440332754927501213e+01 2.566349920423543818e+00
1.570983740612154067e-01 5.350191051809183307e+01 2.601645878915239241e+00
1.626868567963007939e-01 5.261678291501699078e+01 2.637488302294942688e+00
1.683113147304326207e-01 5.174804047829535847e+01 2.673842551616208763e+00
1.739710674120170109e-01 5.089573442723858676e+01 2.710675071783446910e+00
1.796654971949789292e-01 5.005987491897963082e+01 2.747953427093838830e+00
1.853940430084574098e-01 4.924043442785256275e+01 2.785646324287689435e+00
1.911561946304566328e-01 4.843735102649799984e+01 2.823723624677480615e+00
1.969514874398380355e-01 4.765053155124127926e+01 2.862156346824292097e+00
2.027794976202356714e-01 4.687985463764480443e+01 2.900916661119569362e+00
2.086398377889965017e-01 4.612517361531202909e+01 2.939977877515219440e+00
2.145321530240973662e-01 4.538631925395707611e+01 2.979314427529657028e+00
2.204561172621533061e-01 4.466310235544267471e+01 3.018901841543267572e+00
2.264114300410709490e-01 4.395531618887273595e+01 3.058716722287599943e+00
2.323978135615852314e-01 4.326273876793462136e+01 3.098736715328188396e+00
2.384150100427941399e-01 4.258513497149499472e+01 3.138940477243624461e+00
2.444627793478476030e-01 4.192225850998627834e+01 3.179307642113274657e+00
2.505408968570955741e-01 4.127385374139591789e+01 3.219818786843061442e+00
2.566491515672384427e-01 4.063965734169320143e+01 3.260455395783713683e+00
2.627873443963051336e-01 4.001939983533794987e+01 3.301199825027963719e+00
2.689552866755898219e-01 3.941280699212146033e+01 3.342035266712491737e+00
2.751527988109832012e-01 3.881960109702488637e+01 3.382945713596323234e+00
2.813797090974167192e-01 3.823950210005812522e+01 3.423915924139838918e+00
2.876358526713914676e-01 3.767222865319308767e+01 3.464931388266577095e+00
2.939210705877630669e-01 3.711749904154166302e+01 3.505978293953603941e+00
3.002352090081056302e-01 3.657503201587755370e+01 3.547043494764316129e+00
3.065781184890672417e-01 3.604454753346986706e+01 3.588114478410432628e+00
3.129496533601521246e-01 3.552576741400800131e+01 3.629179336406338940e+00
3.193496711813272326e-01 3.501841591716213742e+01 3.670226734859017625e+00
3.257780322717420685e-01 3.452222024804837019e+01 3.711245886420150963e+00
3.322345993016814214e-01 3.403691099657766728e+01 3.752226523412325765e+00
3.387192369406317183e-01 3.356222251634527964e+01 3.793158872130174775e+00
3.452318115550485067e-01 3.309789324840237157e+01 3.834033628306918295e+00
3.517721909500556854e-01 3.264366599491999921e+01 3.874841933729238797e+00
3.583402441498960145e-01 3.219928814743089163e+01 3.915575353977014395e+00
3.649358412124902862e-01 3.176451187401301368e+01 3.956225857259485057e+00
3.715588530739505346e-01 3.133909426947042576e+01 3.996785794315175888e+00
3.782091514193364201e-01 3.092279747226043796e+01 4.037247879340532641e+00
3.848866085763428813e-01 3.051538875162955122e+01 4.077605171909764792e+00
3.915910974289720792e-01 3.011664056814477775e+01 4.117851059847115636e+00
3.983224913485678975e-01 2.972633061054208881e+01 4.157979243012290382e+00
4.050806641398845831e-01 2.934424181157534761e+01 4.197983717958631900e+00
4.118654900001272323e-01 2.897016234530827106e+01 4.237858763424719122e+00
4.186768434891383062e-01 2.860388560808127068e+01 4.277598926619775810e+00
4.255145995091164646e-01 2.824521018518296245e+01 4.317199010264111791e+00
4.323786332924449693e-01 2.789393980506469362e+01 4.356654060346973445e+00
4.392688203963759364e-01 2.754988328276912668e+01 4.395959354564668686e+00
4.461850367034712050e-01 2.721285445407934134e+01 4.435110391403330965e+00
4.531271584268314889e-01 2.688267210174617006e+01 4.474102879832100754e+00
4.600950621192702039e-01 2.655915987502149278e+01 4.512932729573165602e+00
4.670886246856933988e-01 2.624214620359078864e+01 4.551596041917478352e+00
