sr b Me
0.000000000000000000e+00 8.944544345437023480e+01 2.761466633615587085e+00
8.350716830246148956e-03 8.874899043430770007e+01 2.762073546743105013e+00
1.798890564814321219e-02 8.725850794760656015e+01 2.764946939388549740e+00
2.969345086460195571e-02 8.561385611826302977e+01 2.770613739710541257e+00
4.291900048585809563e-02 8.387349291427759113e+01 2.779475399330964880e+00
5.735899038321931598e-02 8.206562694204404806e+01 2.791822876471336201e+00
7.282099353700953459e-02 8.020926801432145226e+01 2.807866867330441440e+00
8.917065910458507605e-02 7.831911807908436174e+01 2.827752387074323526e+00
1.063071415686873827e-01 7.640742342496207584e+01 2.851567178496334787e+00
1.241509185770501150e-01 7.448481061502049272e+01 2.879347737600422619e+00
1.426370974051222873e-01 7.256069641932069203e+01 2.911084500271874820e+00
1.617114359109168287e-01 7.064349628536888304e+01 2.946726846797737220e+00
1.813278247768384255e-01 6.874073206692111171e+01 2.986188169317865793e+00
2.014466078583327102e-01 6.685908953750089267e+01 3.029351037887909825e+00
2.220334066249147198e-01 6.500445291521995728e+01 3.076072393992459908e+00
2.430582592604400294e-01 6.318193154530661104e+01 3.126188653015641083e+00
2.644949625331787235e-01 6.139588703725818419e+01 3.179520586868459286e+00
2.863205485142130136e-01 5.964996501273905949e+01 3.235877870529610512e+00
3.085148542033291363e-01 5.794713303420492423e+01 3.295063201607418168e+00
3.310601578956407498e-01 5.628972467659281875e+01 3.356875932748564662e+00
3.539408658313500378e-01 5.467948875568072253e+01 3.421115187511803324e+00
3.771432386561021088e-01 5.311764223690327213e+01 3.487582457749136555e+00
4.006551508751680091e-01 5.160492517784823008e+01 3.556083702705905125e+00
4.244658786777702475e-01 5.014165610152658559e+01 3.626430986293784908e+00
4.485659127915055944e-01 4.872778637499400389e+01 3.698443699494473158e+00
4.729467937583513026e-01 4.736295241731362893e+01 3.771949420333390091e+00
4.976009674330393318e-01 4.604652483678533059e+01 3.846784465295996380e+00
5.225216587368949339e-01 4.477765386831489280e+01 3.922794184475954626e+00
5.477027618442880108e-01 4.355531072774540746e+01 3.999833049104022820e+00
5.731387450861055166e-01 4.237832470996779222e+01 4.077764575226115795e+00
5.988245689525760751e-01 4.124541602743961732e+01 4.156461121824642113e+00
6.247556156789978443e-01 4.015522451577818686e+01 4.235803596088784317e+00
6.509276290063371606e-01 3.910633442670135196e+01 4.315681093165663285e+00
6.773366628236027198e-01 3.809729559067540094e+01 4.395990492773580449e+00
7.039790375175321024e-01 3.712664126771272777e+01 4.476636030642993092e+00
7.308513029740537625e-01 3.619290302031913598e+01 4.557528858913723724e+00
7.579502072920464295e-01 3.529462294262084043e+01 4.638586606355121766e+00
7.852726703805239516e-01 3.443036356856941183e+01 4.719732946554604958e+00
8.128157617136849700e-01 3.359871576343442001e+01 4.800897179988710128e+00
8.405766816131211572e-01 3.279830487944386874e+01 4.882013834089946158e+00
8.685527455123243090e-01 3.202779543064173140e+01 4.963022283992884809e+00
8.967413707353539820e-01 3.128589451546888967e+01 5.043866395524680968e+00
9.251400653893951942e-01 3.057135418941268412e+01 5.124494191146437672e+00
9.537464190304325573e-01 2.988297296510913625e+01 5.204857538905420355e+00
9.825580948130120396e-01 2.921959659403476195e+01 5.284911863982464375e+00
1.011572822879779121e+00 2.858011826266494637e+01 5.364615882079680986e+00
1.040788394784913473e+00 2.796347831681860896e+01 5.443931353662247119e+00
1.070202658778419691e+00 2.736866361086071819e+01 5.522822857919749140e+00
1.099813515806200792e+00 2.679470656341305812e+01 5.601257585228511360e+00
1.129618916104556448e+00 2.624068398810409164e+01 5.679205146860780928e+00
1.159616856287792430e+00 2.570571575651928597e+01 5.756637400686400063e+00
1.189805376844518259e+00 2.518896334072292831e+01 5.833528291638585550e+00
1.220182559972418312e+00 2.468962827434042495e+01 5.909853705759694265e+00
1.250746527693183952e+00 2.420695056405872236e+01 5.985591336698985465e+00
1.281495440199269975e+00 2.374020707736121594e+01 6.060720563597970845e+00
1.312427494392461647e+00 2.328870992721979505e+01 6.135222339367094158e+00
1.343540922581180741e+00 2.285180487019619022e+01 6.209079088426561199e+00
1.374833991309249992e+00 2.242886973083094304e+01 6.282274613053883350e+00
1.406305000293623042e+00 2.201931286224028739e+01 6.354794007546874290e+00
1.437952281452599568e+00 2.162257165037933149e+01 6.426623579476520298e+00
1.469774198009327071e+00 2.123811106741295518e+01 6.497750777365340902e+00
1.501769143658143069e+00 2.086542227798399551e+01 6.568164124184138863e+00
1.533935541783570722e+00 2.050402130081850061e+01 6.637853156115221864e+00
1.566271844723636564e+00 2.015344772702628973e+01 6.706808366079372696e+00
1.598776533070726646e+00 1.981326349558379718e+01 6.775021151570483902e+00
1.631448115004464627e+00 1.948305172579035371e+01 6.842483766385701216e+00
1.664285125652113617e+00 1.916241560595739557e+01 6.909189275876310710e+00
1.697286126472880019e+00 1.885097733716595769e+01 6.975131515381916891e+00
1.730449704663175714e+00 1.854837713061192161e+01 7.040305051543305659e+00
1.763774472580466934e+00 1.825427225683136001e+01 7.104705146218278422e+00
1.797259067183799797e+00 1.796833614492941678e+01 7.168327722752802167e+00
1.830902149489473940e+00 1.769025752982715005e+01 7.231169334384724756e+00
1.864702404040621930e+00 1.741973964548035525e+01 7.293227134578657456e+00
1.898658538389713213e+00 1.715649946199077291e+01 7.354498849112112602e+00
1.932769282593191029e+00 1.690026696453127641e+01 7.414982749750926416e+00
1.967033388717601694e+00 1.665078447203140399e+01 7.474677629367871390e+00
