sr b Me
0.000000000000000000e+00 8.941983421679952926e+01 2.794419330412955649e+00
7.380896269242046698e-03 8.869123356344384490e+01 2.795094105596399814e+00
1.589960460410232146e-02 8.713210033597184179e+01 2.798288564770763820e+00
2.624434850803778266e-02 8.541212936055030980e+01 2.804587481243085101e+00
3.793281704518128988e-02 8.359284332170156517e+01 2.814434784867346995e+00
5.069369907570344530e-02 8.170416914140955100e+01 2.828149901693821189e+00
6.435653662015992926e-02 7.976643585698174377e+01 2.845961218917357982e+00
7.880220100719496912e-02 7.779546813883848699e+01 2.868022326355994966e+00
9.394120096063722503e-02 7.580450216184394208e+01 2.894421568144308399e+00
1.097029381128569459e-01 7.380504037550312546e+01 2.925189098421041578e+00
1.260298096321837424e-01 7.180726359448023288e+01 2.960303124015338572e+00
1.428737047685409711e-01 6.982023611113336869e+01 2.999696019703972372e+00
1.601937869776393075e-01 6.785200973188683804e+01 3.043260538932072823e+00
1.779550107750957066e-01 6.590967978422582974e+01 3.090856111481225632e+00
1.961270786398149613e-01 6.399942141110501126e+01 3.142315107772960747e+00
2.146836715239704707e-01 6.212652152036427822e+01 3.197448907744108393e+00
2.336018553300359957e-01 6.029541436000499743e+01 3.256053613402321023e+00
2.528616046547658147e-01 5.850972422537592621e+01 3.317915270507629355e+00
2.724454079816191476e-01 5.677231606411632470e+01 3.382814503581473176e+00
2.923379322505832434e-01 5.508535311239866417e+01 3.450530510449056454e+00
3.125257330601293737e-01 5.345035981488385346e+01 3.520844401606353369e+00
3.329970017754992351e-01 5.186828791640336078e+01 3.593541902255078746e+00
3.537413437984560649e-01 5.033958359606237565e+01 3.668415459294213754e+00
3.747495839835793818e-01 4.886425371561598752e+01 3.745265811805533307e+00
3.960135961635452562e-01 4.744192957600814253e+01 3.823903092480144483e+00
4.175261542865286724e-01 4.607192694714753145e+01 3.904147530350424056e+00
4.392808029701464334e-01 4.475330150652075645e+01 3.985829823615099077e+00
4.612717454576417131e-01 4.348489916046781900e+01 4.068791246695256270e+00
4.834937470920075420e-01 4.226540101049823761e+01 4.152883549153869147e+00
5.059420525389429768e-01 4.109336295907961301e+01 4.237968696716192696e+00
5.286123151066903780e-01 3.996725012530136922e+01 4.323918497053068855e+00
5.515005366353235017e-01 3.888546636559504321e+01 4.410614145718151136e+00
5.746030165593293271e-01 3.784637927553686154e+01 4.497945720962329474e+00
5.979163088821279892e-01 3.684834109377327849e+01 4.585811650241547355e+00
6.214371859355203309e-01 3.588970594624576194e+01 4.674118166143049535e+00
6.451626079273014014e-01 3.496884386534262745e+01 4.762778765167547057e+00
6.690896974035152045e-01 3.408415200053927663e+01 4.851713679265061252e+00
6.932157178660747210e-01 3.323406340953052052e+01 4.940849367153052896e+00
7.175380558905171124e-01 3.241705378576838115e+01 5.030118030158818421e+00
7.420542061820596391e-01 3.163164644267221348e+01 5.119457155536848880e+00
7.667617590908980540e-01 3.087641583873954332e+01 5.208809088833210588e+00
7.916583901802815015e-01 3.014998989285140496e+01 5.298120635828477809e+00
8.167418515039945870e-01 2.945105130620864031e+01 5.387342693822172457e+00
8.420099643042864290e-01 2.877833807710952385e+01 5.476429911471909051e+00
8.674606128879064348e-01 2.813064336748428929e+01 5.565340376019841884e+00
8.930917394776149987e-01 2.750681485579167074e+01 5.654035326490942204e+00
9.189013398702030599e-01 2.690575368948644197e+01 5.742478891301100674e+00
9.448874597604652870e-01 2.632641313162550034e+01 5.830637848641761600e+00
9.710481916144687586e-01 2.576779698007579711e+01 5.918481407992842058e+00
9.973816719954854415e-01 2.522895782398025588e+01 6.005981011140463011e+00
1.023886079262702031e+00 2.470899519036881031e+01 6.093110151130342267e+00
1.050559631576770236e+00 2.420705362384586579e+01 6.179844207659096256e+00
1.077400585157878954e+00 2.372232073389448459e+01 6.266160297490342757e+00
1.104407232751660750e+00 2.325402523731074567e+01 6.352037138572879549e+00
1.131577902266235114e+00 2.280143501742747603e+01 6.437454926630695518e+00
1.158910955550292110e+00 2.236385521692375278e+01 6.522395223088127914e+00
1.186404787287580698e+00 2.194062637701054541e+01 6.606840853283252990e+00
1.214057823987654938e+00 2.153112263249086311e+01 6.690775814009345623e+00
1.241868523056443463e+00 2.113474996950555251e+01 6.774185189506513716e+00
1.269835371933246693e+00 2.075094455059233667e+01 6.857055075103086317e+00
1.297956887283262306e+00 2.037917110993328862e+01 6.939372507777468613e+00
1.326231614236792922e+00 2.001892142025603150e+01 7.021125402978309005e+00
1.354658125667963064e+00 1.966971283174250473e+01 7.102302497101928402e+00
1.383235021507138729e+00 1.933108688242628048e+01 7.182893295082190654e+00
1.411960928082358846e+00 1.900260797888685360e+01 7.262888022599256033e+00
1.440834497486005894e+00 1.868386214553604319e+01 7.342277582460998708e+00
1.469854406963660765e+00 1.837445584041415714e+01 7.421053514753357838e+00
1.499019358322701390e+00 1.807401483514476581e+01 7.499207960394331351e+00
1.528328077358683590e+00 1.778218315650993731e+01 7.576733627762187062e+00
1.557779313297921853e+00 1.749862208699619970e+01 7.653623762099948991e+00
1.587371838255007050e+00 1.722300922160366099e+01 7.729872117426845435e+00
1.617104446704255682e+00 1.695503757819401258e+01 7.805472930714209667e+00
1.646975954964261080e+00 1.669441475867536795e+01 7.880420898106355487e+00
1.676985200694897538e+00 1.644086215836822262e+01 7.954711152988105383e+00
1.707131042406240029e+00 1.619411422096019848e+01 8.028339245720847117e+00
1.737412358978962290e+00 1.595391773654081113e+01 8.101301124885591065e+00
1.767828049195846685e+00 1.572003118030001545e+01 8.173593119886733760e+00
1.798377031284107863e+00 1.549222408956621955e+01 8.245211924786593372e+00
1.829058242468265538e+00 1.527027647697114254e+01 8.316154583250526144e+00
1.859870638533335674e+00 1.505397827762670282e+01 8.386418474496409203e+00
1.890813193398144465e+00 1.484312882830496250e+01 8.456001300152399480e+00
1.921884898698571709e+00 1.463753637672135710e+01 8.524901071934852581e+00
1.953084763380551259e+00 1.443701761911927761e+01 8.593116100068128205e+00
1.984411813302666916e+00 1.424139726445300447e+01 8.660644982376160428e+00
2.015865090848177665e+00 1.405050762356718508e+01 8.727486593980978924e+00
2.047443654546316161e+00 1.386418822185888722e+01 8.793640077551335921e+00
2.079146578702704140e+00 1.368228543400175035e+01 8.859104834048828536e+00
2.110972953038730004e+00 1.350465213939162901e+01 8.923880513925645630e+00
2.142921882339724693e+00 1.333114739705771790e+01 8.987967008731608587e+00
2.174992486111784640e+00 1.316163613885998274e+01 9.051364443092092316e+00
