sr b Me
0.000000000000000000e+00 8.946902081172322596e+01 2.721903597170710842e+00
9.035367256595192020e-03 8.880216657727824270e+01 2.722449137109563821e+00
1.946390810609039540e-02 8.737490881644909280e+01 2.725032109780283651e+00
3.212858369565245453e-02 8.579967243437624802e+01 2.730126873195788839e+00
4.643964465534668878e-02 8.413213456301873805e+01 2.738095889403506789e+00
6.206576874674477051e-02 8.239896679411106106e+01 2.749203407945437494e+00
7.879916216285273722e-02 8.061800986673327429e+01 2.763642743365187116e+00
9.649487540625958926e-02 7.880297455205237611e+01 2.781549368810182443e+00
1.150441917616904092e-01 7.696523203979715788e+01 2.803008346638303561e+00
1.343614222814737691e-01 7.511462985815622062e+01 2.828059512707186585e+00
1.543766430652808719e-01 7.325989787531091224e+01 2.856701822467945906e+00
1.750313745654581699e-01 7.140885877744773325e+01 2.888897476821875365e+00
1.962758477862187600e-01 6.956853901793633099e+01 2.924576079793462569e+00
2.180671833425127659e-01 6.774522839446244404e+01 2.963638892104611067e+00
2.403681216493990802e-01 6.594451434589417715e+01 3.005963145313818252e+00
2.631460984779551704e-01 6.417130572234211172e+01 3.051406332481396255e+00
2.863725436972666683e-01 6.242985440782951656e+01 3.099810374324908580e+00
3.100223284471504970e-01 6.072377933368445468e+01 3.151005563061635595e+00
3.340733141065648781e-01 5.905609500204526796e+01 3.204814201600624468e+00
3.585059736227412808e-01 5.742924509580286951e+01 3.261053877491586928e+00
3.833030664833062540e-01 5.584514078959850281e+01 3.319540334651797764e+00
4.084493553371104091e-01 5.430520282002592580e+01 3.380089928297336233e+00
4.339313564719046723e-01 5.281040610411722724e+01 3.442521667783276840e+00
4.597371189501676669e-01 5.136132562723720696e+01 3.506658867249465406e+00
4.858560287721413462e-01 4.995818238820803003e+01 3.572330434845252256e+00
5.122786353587808206e-01 4.860088833901508565e+01 3.639371838140677440e+00
5.389964981772955577e-01 4.728908944910795498e+01 3.707625786692995362e+00
5.660020516313934991e-01 4.602220623087013252e+01 3.776942673329005462e+00
5.932884865112977302e-01 4.479947126301524918e+01 3.847180814242921798e+00
6.208496464091424194e-01 4.361996342959724160e+01 3.918206525153494102e+00
6.486799375908460785e-01 4.248263874698611176e+01 3.989894067068011196e+00
6.767742508959868619e-01 4.138635777688482165e+01 4.062125491104893626e+00
7.051278943217185180e-01 4.032990972062942348e+01 4.134790407658073264e+00
7.337365350380400386e-01 3.931203336091887479e+01 4.207785701173495596e+00
7.625961496790341076e-01 3.833143506515371968e+01 4.281015208095508839e+00
7.917029818556114984e-01 3.738680409352060252e+01 4.354389372210549780e+00
8.210535059370369648e-01 3.647682546866093389e+01 4.427824888700613748e+00
8.506443962483878352e-01 3.560019066573197222e+01 4.501244345720216700e+00
8.804725009268958846e-01 3.475560637501889261e+01 4.574575870206595063e+00
9.105348197702329838e-01 3.394180157659250341e+01 4.647752782890584022e+00
9.408284854931480146e-01 3.315753314997499501e+01 4.720713266053479629e+00
9.713507478848397714e-01 3.240159022302722747e+01 4.793400046432467754e+00
1.002098960427897367e+00 3.167279744458965141e+01 4.865760094772146438e+00
1.033070569000659189e+00 3.097001734572540244e+01 4.937744342813890519e+00
1.064263102338740774e+00 3.029215193537849160e+01 5.009307417974312671e+00
1.095674163978748172e+00 2.963814365829945174e+01 5.080407395559352501e+00
1.127301425448363981e+00 2.900697582648817630e+01 5.151005568063475870e+00
1.159142620502639387e+00 2.839767262026500561e+01 5.221066230894948923e+00
1.191195540237043105e+00 2.780929874147130576e+01 5.290556483727288040e+00
1.223458028934179431e+00 2.724095878917951907e+01 5.359446046590433888e+00
1.255927980523609655e+00 2.669179641760546673e+01 5.427707089768732729e+00
1.288603335553398122e+00 2.616099332654604126e+01 5.495314076559268734e+00
1.321482078588301023e+00 2.564776812653447280e+01 5.562243617951163621e+00
1.354562235963319150e+00 2.515137511385965752e+01 5.628474338312787317e+00
1.387841873833003392e+00 2.467110298455073902e+01 5.693986751209801689e+00
1.421319096466732157e+00 2.420627351125112625e+01 5.758763144521845234e+00
1.454992044748464775e+00 2.375624020249554746e+01 5.822787474075244774e+00
1.488858894846427861e+00 2.332038696017209389e+01 5.886045265060361409e+00
1.522917857024026489e+00 2.289812674779365409e+01 5.948523520555099253e+00
1.557167174568156121e+00 2.248890027955068760e+01 6.010210636528318773e+00
1.591605122815182405e+00 2.209217473790321407e+01 6.071096322746756258e+00
1.626230008258258808e+00 2.170744252561547327e+01 6.131171529058315528e+00
1.661040167722507510e+00 2.133422005660598941e+01 6.190428376570273450e+00
1.696033967596952907e+00 2.097204658872110272e+01 6.248860093284237749e+00
1.731209803114059698e+00 2.062048310050185762e+01 6.306460953789986945e+00
1.766566097669383772e+00 2.027911121316623166e+01 6.363226222658334486e+00
1.802101302175173725e+00 1.994753215834744253e+01 6.419152101207187933e+00
1.837813894442904328e+00 1.962536579157733385e+01 6.474235677347246920e+00
1.873702378590640372e+00 1.931224965106926206e+01 6.528474878242822577e+00
1.909765284471890867e+00 1.900783806101471285e+01 6.581868425549668444e+00
1.946001167123251996e+00 1.871180127834159990e+01 6.634415793016532170e+00
1.982408606228649228e+00 1.842382468168930032e+01 6.686117166258233269e+00
2.018986205598404915e+00 1.814360800120623196e+01 6.736973404528850295e+00
2.055732592661716041e+00 1.787086458767798902e+01 6.786986004340956669e+00
2.092646417971397277e+00 1.760532071942859389e+01 6.836157064793256133e+00
2.129726354719974957e+00 1.734671494540042858e+01 6.884489254483583842e+00
2.166971098266404994e+00 1.709479746280825196e+01 6.931985779896873368e+00
2.204379365672832769e+00 1.684932952776541981e+01 6.978650355169925490e+00
2.241949895250928027e+00 1.661008289730197518e+01 7.024487173145081975e+00
2.279681446117428845e+00 1.637683930122901188e+01 7.069500877633604574e+00
2.317572797758595371e+00 1.614938994233835245e+01 7.113696536818906679e+00
2.355622749603337063e+00 1.592753502347979300e+01 7.157079617736047616e+00
2.393830120604814482e+00 1.571108330010450693e+01 7.199655961771180834e+00
2.432193748830363322e+00 1.549985165692006994e+01 7.241431761130124656e+00
2.470712491059598115e+00 1.529366470736010619e+01 7.282413536230014195e+00
2.509385222390578818e+00 1.509235441462650762e+01 7.322608113972877142e+00
2.548210835853943035e+00 1.489575973312010682e+01 7.362022606863929397e+00
2.587188242034896835e+00 1.470372626913610681e+01 7.400664392940051073e+00
2.626316368702986459e+00 1.451610595975033924e+01 7.438541096478215486e+00
2.665594160449551886e+00 1.433275676888463579e+01 7.475660569454770865e+00
2.705020578332786307e+00 1.415354239958627325e+01 7.512030873729999669e+00
2.744594599530301160e+00 1.397833202161276311e+01 7.547660263933451574e+00
2.784315216999121656e+00 1.380700001345899786e+01 7.582557171027932696e+00
2.824181439143007122e+00 1.363942571801450221e+01 7.616730186530864088e+00
2.864192289487015763e+00 1.347549321108128950e+01 7.650188047373467803e+00
2.904346806359202393e+00 1.331509108202729585e+01 7.682939621379174078e+00
