sr b Me
5.537967716015380626e-01 4.478533953474580187e+01 4.030765310394375689e+00
5.563814724153645086e-01 4.465473372486496828e+01 4.039232274279132007e+00
5.589669117065249049e-01 4.452464029171881066e+01 4.047712996035576438e+00
5.615530810266268213e-01 4.439505792563598163e+01 4.056207320263404803e+00
5.641399720651475436e-01 4.426598530061528436e+01 4.064715092654276773e+00
5.667275766475393661e-01 4.413742107475842147e+01 4.073236159989437333e+00
5.693158867333590889e-01 4.400936389069709520e+01 4.081770370137148163e+00
5.719048944144181634e-01 4.388181237601421003e+01 4.090317572050012451e+00
5.744945919129540446e-01 4.375476514365965386e+01 4.098877615762113180e+00
5.770849715798236357e-01 4.362822079236015327e+01 4.107450352386047498e+00
5.796760258927176057e-01 4.350217790702370735e+01 4.116035634109793229e+00
5.822677474543966891e-01 4.337663505913820927e+01 4.124633314193468792e+00
5.848601289909474144e-01 4.325159080716463933e+01 4.133243246965956352e+00
5.874531633500598149e-01 4.312704369692455231e+01 4.141865287821388186e+00
5.900468434993263456e-01 4.300299226198213631e+01 4.150499293215544228e+00
5.926411625245588954e-01 4.287943502402066542e+01 4.159145120662112838e+00
5.952361136281294485e-01 4.275637049321352379e+01 4.167802628728838776e+00
5.978316901273281747e-01 4.263379716858977986e+01 4.176471677033584129e+00
6.004278854527426157e-01 4.251171353839433209e+01 4.185152126240264892e+00
6.030246931466572979e-01 4.239011808044261898e+01 4.193843838054704953e+00
6.056221068614716652e-01 4.226900926247009949e+01 4.202546675220379946e+00
6.082201203581391047e-01 4.214838554247626234e+01 4.211260501514087373e+00
6.108187275046237374e-01 4.202824536906354780e+01 4.219985181741503055e+00
6.134179222743778581e-01 4.190858718177079112e+01 4.228720581732689610e+00
6.160176987448371388e-01 4.178940941140169230e+01 4.237466568337479700e+00
6.186180510959355949e-01 4.167071048034799929e+01 4.246223009420816652e+00
6.212189736086393133e-01 4.155248880290757540e+01 4.254989773858007140e+00
6.238204606634969451e-01 4.143474278559741464e+01 4.263766731529893939e+00
6.264225067392118484e-01 4.131747082746157673e+01 4.272553753317981595e+00
6.290251064112285517e-01 4.120067132037417679e+01 4.281350711099470630e+00
6.316282543503400904e-01 4.108434264933740820e+01 4.290157477742252645e+00
6.342319453213124403e-01 4.096848319277456341e+01 4.298973927099831727e+00
6.368361741815254939e-01 4.085309132281829392e+01 4.307799934006195208e+00
6.394409358796333542e-01 4.073816540559402455e+01 4.316635374270626713e+00
6.420462254542400604e-01 4.062370380149850746e+01 4.325480124672473892e+00
6.446520380325938548e-01 4.050970486547375771e+01 4.334334062955861988e+00
6.472583688292984361e-01 4.039616694727615709e+01 4.343197067824365654e+00
6.498652131450395331e-01 4.028308839174109579e+01 4.352069018935630140e+00
6.524725663653301311e-01 4.017046753904279655e+01 4.360949796895967623e+00
6.550804239592703526e-01 4.005830272494979738e+01 4.369839283254893125e+00
6.576887814783251018e-01 3.994659228107576610e+01 4.378737360499646236e+00
6.602976345551168080e-01 3.983533453512593780e+01 4.387643912049662198e+00
6.629069789022342674e-01 3.972452781113914710e+01 4.396558822251019016e+00
6.655168103110584710e-01 3.961417042972541225e+01 4.405481976370857922e+00
6.681271246506017558e-01 3.950426070829931291e+01 4.414413260591768307e+00
6.707379178663651631e-01 3.939479696130902653e+01 4.423352562006159339e+00
6.733491859792085643e-01 3.928577750046112982e+01 4.432299768610587165e+00
6.759609250842369965e-01 3.917720063494131466e+01 4.441254769300096328e+00
6.785731313497035400e-01 3.906906467163087626e+01 4.450217453862500783e+00
6.811858010159229648e-01 3.896136791531916543e+01 4.459187712972678241e+00
6.837989303942049180e-01 3.885410866891202630e+01 4.468165438186838756e+00
6.864125158657969905e-01 3.874728523363622656e+01 4.477150521936773764e+00
6.890265538808458823e-01 3.864089590923995132e+01 4.486142857524104244e+00
6.916410409573701124e-01 3.853493899418943869e+01 4.495142339114504892e+00
6.942559736802474957e-01 3.842941278586175713e+01 4.504148861731933629e+00
6.968713487002174967e-01 3.832431558073370326e+01 4.513162321252852216e+00
6.994871627328953512e-01 3.821964567456720374e+01 4.522182614400423795e+00
7.021034125578012874e-01 3.811540136259070266e+01 4.531209638738725509e+00
7.047200950174019596e-01 3.801158093967714535e+01 4.540243292666954922e+00
7.073372070161658698e-01 3.790818270051823191e+01 4.549283475413629318e+00
7.099547455196317802e-01 3.780520493979515351e+01 4.558330087030785904e+00
