sr b Me
1.561728169096398666e+00 2.646735934645656840e+01 4.909422241885186722e+00
1.598680130266388000e+00 2.598693125581018037e+01 4.953624277134045961e+00
1.635843675384429208e+00 2.552106093530062481e+01 4.996978742573625176e+00
1.673216980859418612e+00 2.506918183247310949e+01 5.039480486082728916e+00
1.710798255049458039e+00 2.463075145502122965e+01 5.081125915223647205e+00
1.748585737062442469e+00 2.420525051042057996e+01 5.121912895173675651e+00
1.786577695693905676e+00 2.379218203693915967e+01 5.161840651817938941e+00
1.824772428479880304e+00 2.339107053435905925e+01 5.200909679730523649e+00
1.863168260846063351e+00 2.300146110119298370e+01 5.239121654788990057e+00
1.901763545337596284e+00 2.262291858386636179e+01 5.276479351184055311e+00
1.940556660916277654e+00 2.225502674220594912e+01 5.312986562603511764e+00
1.979546012314207903e+00 2.189738743463470172e+01 5.348648027384265369e+00
2.018730029434659734e+00 2.154961982566869949e+01 5.383469357441120984e+00
2.058107166792513709e+00 2.121135961763887678e+01 5.417456970794387594e+00
2.097675902987883312e+00 2.088225830800497107e+01 5.450618027529895215e+00
2.137434740207638573e+00 2.056198247315483130e+01 5.482960369036745440e+00
2.177382203750457101e+00 2.025021307920387059e+01 5.514492460377385719e+00
2.217516841571794295e+00 1.994664481998802330e+01 5.545223335653884256e+00
2.257837223845798214e+00 1.965098548218624686e+01 5.575162546242331985e+00
2.298341942541739513e+00 1.936295533730396201e+01 5.604320111773995805e+00
2.339029611012971799e+00 1.908228656007658230e+01 5.632706473748869236e+00
2.379898863596805469e+00 1.880872267272776810e+01 5.660332451672451803e+00
2.420948355223988546e+00 1.854201801441349673e+01 5.687209201611785225e+00
2.462176761036745543e+00 1.828193723510540636e+01 5.713348177071750023e+00
2.503582776014529720e+00 1.802825481311507971e+01 5.738761092096222427e+00
2.545165114606827483e+00 1.778075459542387904e+01 5.763459886502478646e+00
2.586922510372479778e+00 1.753922935995487364e+01 5.787456693161050048e+00
2.628853715625121712e+00 1.730348039891624268e+01 5.810763807235800549e+00
2.670957501084409547e+00 1.707331712234195820e+01 5.833393657302115010e+00
2.713232655532805460e+00 1.684855668096144043e+01 5.855358778263602737e+00
2.755677985477725134e+00 1.662902360754081243e+01 5.876671785990363439e+00
2.798292314818926485e+00 1.641454947585632240e+01 5.897345353604032780e+00
2.841074484521028065e+00 1.620497257648131750e+01 5.917392189337049579e+00
2.884023352291095854e+00 1.600013760858973555e+01 5.936825015895945690e+00
2.927137792261250038e+00 1.579989538700541374e+01 5.955656551260340770e+00
2.970416694676254465e+00 1.560410256375591764e+01 5.973899490851281691e+00
3.013858965586068361e+00 1.541262136341488542e+01 5.991566491004602923e+00
3.057463526543349186e+00 1.522531933154453654e+01 6.008670153687187820e+00
3.101229314305898654e+00 1.504206909558123151e+01 6.025223012395528599e+00
3.145155280544031040e+00 1.486274813753625779e+01 6.041237519177906634e+00
3.189240391552875753e+00 1.468723857790828724e+01 6.056726032723723563e+00
3.233483627969588881e+00 1.451542697023662676e+01 6.071700807464887717e+00
3.277883984495472802e+00 1.434720410574559857e+01 6.086173983636623319e+00
3.322440469622984782e+00 1.418246482756410920e+01 6.100157578246085066e+00
3.367155004184497979e+00 1.410140534749001517e+01 6.106966521340400966e+00
