sr b Me
1.304906636240657225e-01 6.755274038220730404e+01 2.525254106186142877e+00
1.314567510662569827e-01 6.741639193889386661e+01 2.528318390504596280e+00
1.324240422087373803e-01 6.728017770527473829e+01 2.531400506377786463e+00
1.333925255388418440e-01 6.714409985555474236e+01 2.534500391870617708e+00
1.343621896462233456e-01 6.700816054233854402e+01 2.537617984507662072e+00
1.353330232220107121e-01 6.687236189667578401e+01 2.540753221284195451e+00
1.363050150579800668e-01 6.673670602811033348e+01 2.543906038677096859e+00
1.372781540457391480e-01 6.660119502472836928e+01 2.547076372655723286e+00
1.382524291759243129e-01 6.646583095320751511e+01 2.550264158692723271e+00
1.392278295374097530e-01 6.633061585886412104e+01 2.553469331774838036e+00
1.402043443165282566e-01 6.619555176570263200e+01 2.556691826413615587e+00
1.411819627963032953e-01 6.606064067646678950e+01 2.559931576656031549e+00
1.421606743556918795e-01 6.592588457268881541e+01 2.563188516095111336e+00
1.431404684688379059e-01 6.579128541473897940e+01 2.566462577880498586e+00
1.441213347043356352e-01 6.565684514187758225e+01 2.569753694728918347e+00
1.451032627245024131e-01 6.552256567230740814e+01 2.573061798934576760e+00
1.460862422846616049e-01 6.538844890322361891e+01 2.576386822379584274e+00
1.470702632324334957e-01 6.525449671087095282e+01 2.579728696544145272e+00
1.480553155070356564e-01 6.512071095059393144e+01 2.583087352516873381e+00
1.490413891385912182e-01 6.498709345689189831e+01 2.586462721004934906e+00
1.500284742474454203e-01 6.485364604347439865e+01 2.589854732344148758e+00
1.510165610434897610e-01 6.472037050332079389e+01 2.593263316508911398e+00
1.520056398254939767e-01 6.458726860873034070e+01 2.596688403122321631e+00
1.529957009804446544e-01 6.445434211138454828e+01 2.600129921465954119e+00
1.539867349828915322e-01 6.432159274240453328e+01 2.603587800489689741e+00
1.549787323942999062e-01 6.418902221241221184e+01 2.607061968821410058e+00
1.559716838624101432e-01 6.405663221158616238e+01 2.610552354776779715e+00
1.569655801206026879e-01 6.392442440972679663e+01 2.614058886368722412e+00
1.579604119872700663e-01 6.379240045631703993e+01 2.617581491316978148e+00
1.589561703651939384e-01 6.366056198058606697e+01 2.621120097057517917e+00
1.599528462409283702e-01 6.352891059157189346e+01 2.624674630751933524e+00
1.609504306841881005e-01 6.339744787818801086e+01 2.628245019296676421e+00
1.619489148472427198e-01 6.326617540928720729e+01 2.631831189332312526e+00
1.629482899643152349e-01 6.313509473373176917e+01 2.635433067252549222e+00
1.639485473509863511e-01 6.300420738045801983e+01 2.639050579213363612e+00
1.649496784036028618e-01 6.287351485854649980e+01 2.642683651141923828e+00
1.659516745986912567e-01 6.274301865729083971e+01 2.646332208745489467e+00
1.669545274923753819e-01 6.261272024627222521e+01 2.649996177520105523e+00
1.679582287197990131e-01 6.248262107542675636e+01 2.653675482759420223e+00
1.689627699945519257e-01 6.235272257512075811e+01 2.657370049563257730e+00
1.699681431081010163e-01 6.222302615622213295e+01 2.661079802846213038e+00
1.709743399292244503e-01 6.209353321018140548e+01 2.664804667345930245e+00
1.719813524034506103e-01 6.196424510909775307e+01 2.668544567631754738e+00
1.729891725524999591e-01 6.183516320580447712e+01 2.672299428112759223e+00
1.739977924737315107e-01 6.170628883394230968e+01 2.676069173046071281e+00
1.750072043395919097e-01 6.157762330804029460e+01 2.679853726544918935e+00
1.760174003970689516e-01 6.144916792359371271e+01 2.683653012586704190e+00
1.770283729671476014e-01 6.132092395714563082e+01 2.687466955020908710e+00
1.780401144442702310e-01 6.119289266636827307e+01 2.691295477576954642e+00
1.790526172957992157e-01 6.106507529014786684e+01 2.695138503871887359e+00
1.800658740614835274e-01 6.093747304866404590e+01 2.698995957418173663e+00
1.810798773529277428e-01 6.081008714347699140e+01 2.702867761631201127e+00
1.820946198530645765e-01 6.068291875761229903e+01 2.706753839836787634e+00
1.831100943156299954e-01 6.055596905564926402e+01 2.710654115278520404e+00
1.841262935646416354e-01 6.042923918380359538e+01 2.714568511125213579e+00
1.851432104938795509e-01 6.030273027002039754e+01 2.718496950477975904e+00
1.861608380663705709e-01 6.017644342405852598e+01 2.722439356377503561e+00
1.871791693138742940e-01 6.005037973758628311e+01 2.726395651810928911e+00
1.881981973363729410e-01 5.992454028426602264e+01 2.730365759718977881e+00
1.892179153015629001e-01 5.979892611984953277e+01 2.734349603002720563e+00
1.902383164443496033e-01 5.967353828226922730e+01 2.738347104530379994e+00
1.912593940663445125e-01 5.954837779173264778e+01 2.742358187143985937e+00
1.922811415353649633e-01 5.942344565081393171e+01 2.746382773666052213e+00
1.933035522849360921e-01 5.929874284455095790e+01 2.750420786906017767e+00
1.943266198137959533e-01 5.917427034053783785e+01 2.754472149666763681e+00
1.953503376854021645e-01 5.905002908902864078e+01 2.758536784750706961e+00
1.963746995274417984e-01 5.892602002302432851e+01 2.762614614966378390e+00
1.973996990313431066e-01 5.880224405837780921e+01 2.766705563134336465e+00
1.984253299517899360e-01 5.867870209388838987e+01 2.770809552093369543e+00
1.994515861062382822e-01 5.855539501140522418e+01 2.774926504706339170e+00
2.004784613744353683e-01 5.843232367592330689e+01 2.779056343866193934e+00
2.015059496979407228e-01 5.830948893568555036e+01 2.783198992501726199e+00
2.025340450796500880e-01 5.818689162228228184e+01 2.787354373583343925e+00
2.035627415833207721e-01 5.806453255075871311e+01 2.791522410128507214e+00
2.045920333331002483e-01 5.794241251970885997e+01 2.795703025207560977e+00
2.056219145130561143e-01 5.782053231138387162e+01 2.799896141949011596e+00
2.066523793667089104e-01 5.769889269179458324e+01 2.804101683544928836e+00
2.076834221965667415e-01 5.757749441081787722e+01 2.808319573256153667e+00
2.087150373636625367e-01 5.745633820229494404e+01 2.812549734417720604e+00
2.097472192870929175e-01 5.733542478414315724e+01 2.816792090443739127e+00
2.107799624435600649e-01 5.721475485845871845e+01 2.821046564832527803e+00
2.118132613669149455e-01 5.709432911162173241e+01 2.825313081171604956e+00
2.128471106477033969e-01 5.697414821440396793e+01 2.829591563142502153e+00
2.138815049327139339e-01 5.685421282207805405e+01 2.833881934525475543e+00
2.149164389245279416e-01 5.673452357452213590e+01 2.838184119204297140e+00
2.159519073810722556e-01 5.661508109632572427e+01 2.842498041170949286e+00
2.169879051151732685e-01 5.649588599690536483e+01 2.846823624529887908e+00
2.180244269941140900e-01 5.637693887060536468e+01 2.851160793502780955e+00
2.190614679391930386e-01 5.625824029680937599e+01 2.855509472432794293e+00
2.200990229252848263e-01 5.613979084005111986e+01 2.859869585788819002e+00
2.211370869804037687e-01 5.602159105012438545e+01 2.864241058169683551e+00
2.221756551852692163e-01 5.590364146218897190e+01 2.868623814308426390e+00
2.232147226728728728e-01 5.578594259688683366e+01 2.873017779076138645e+00
2.242542846280488888e-01 5.566849496044413570e+01 2.877422877486249586e+00
2.252943362870453714e-01 5.555129904479334613e+01 2.881839034698002067e+00
2.263348729370987800e-01 5.543435532767212948e+01 2.886266176020733987e+00
2.273758899160098490e-01 5.531766427274329345e+01 2.890704226917288011e+00
2.284173826117223693e-01 5.520122632970042531e+01 2.895153113007905787e+00
2.294593464619034962e-01 5.508504193438391638e+01 2.899612760073647877e+00
2.305017769535267491e-01 5.496911150888877984e+01 2.904083094060073478e+00
2.315446696224568168e-01 5.485343546168031281e+01 2.908564041080532903e+00
2.325880200530370256e-01 5.473801418769857463e+01 2.913055527419836643e+00
2.336318238776783074e-01 5.462284806848253282e+01 2.917557479537092657e+00
2.346760767764512479e-01 5.450793747227030650e+01 2.922069824069396748e+00
2.357207744766793567e-01 5.439328275411652669e+01 2.926592487834797751e+00
2.367659127525355289e-01 5.427888425600343680e+01 2.931125397835431468e+00
2.378114874246397559e-01 5.416474230695655478e+01 2.935668481260410800e+00
2.388574943596600275e-01 5.405085722315085661e+01 2.940221665489021419e+00
2.399039294699144842e-01 5.393722930802789506e+01 2.944784878093415159e+00
2.409507887129766490e-01 5.382385885240262269e+01 2.949358046841648484e+00
2.419980680912821591e-01 5.371074613458777947e+01 2.953941099699942452e+00
2.430457636517383835e-01 5.359789142048931865e+01 2.958533964836047137e+00
2.440938714853355673e-01 5.348529496372755432e+01 2.963136570621499821e+00
2.451423877267609741e-01 5.337295700575086954e+01 2.967748845634106125e+00
2.461913085540145540e-01 5.326087777594430150e+01 2.972370718660578337e+00
2.472406301880273882e-01 5.314905749174157990e+01 2.977002118698948596e+00
2.482903488922819923e-01 5.303749635873666080e+01 2.981642974960949655e+00
2.493404609724352849e-01 5.292619457079384659e+01 2.986293216874376544e+00
2.503909627759431933e-01 5.281515231016917511e+01 2.990952774084916221e+00
2.514418506916883955e-01 5.270436974760566073e+01 2.995621576458997293e+00
2.524931211496091454e-01 5.259384704245449882e+01 3.000299554085497089e+00
2.535447706203315943e-01 5.248358434278397766e+01 3.004986637277880401e+00
2.545967956148033617e-01 5.237358178549196452e+01 3.009682756576135709e+00
2.556491926839302153e-01 5.226383949641109439e+01 3.014387842748943669e+00
2.567019584182139713e-01 5.215435759042499342e+01 3.019101826795317134e+00
2.577550894473940035e-01 5.204513617157249428e+01 3.023824639946677717e+00
2.588085824400896962e-01 5.193617533316536594e+01 3.028556213668300856e+00
2.598624341034461716e-01 5.182747515788877024e+01 3.033296479661419465e+00
2.609166411827814613e-01 5.171903571791435894e+01 3.038045369864729839e+00
2.619712004612367862e-01 5.161085707501010944e+01 3.042802816455971726e+00
2.630261087594284453e-01 5.150293928065141813e+01 3.047568751853373836e+00
2.640813629351021485e-01 5.139528237611959582e+01 3.052343108717604725e+00
2.651369598827898466e-01 5.128788639262110394e+01 3.057125819952728474e+00
2.661928965334686148e-01 5.118075135138687415e+01 3.061916818707989041e+00
2.672491698542217020e-01 5.107387726378898662e+01 3.066716038378743292e+00
2.683057768479022998e-01 5.096726413143512957e+01 3.071523412608331949e+00
2.693627145527990319e-01 5.086091194628333767e+01 3.076338875288975760e+00
2.704199800423040534e-01 5.075482069074649871e+01 3.081162360563061142e+00
2.714775704245833143e-01 5.064899033780081794e+01 3.085993802824182453e+00
2.725354828422490994e-01 5.054342085108297766e+01 3.090833136718643015e+00
2.735937144720348435e-01 5.043811218500598414e+01 3.095680297146020443e+00
2.746522625244722793e-01 5.033306428485263950e+01 3.100535219260714737e+00
2.757111242435705267e-01 5.022827708689183623e+01 3.105397838472362171e+00
2.767702969064980145e-01 5.012375051847001117e+01 3.110268090447348310e+00
2.778297778232660664e-01 5.001948449812168462e+01 3.115145911109360011e+00
2.788895643364150967e-01 4.991547893567052085e+01 3.120031236640326888e+00
2.799496538207028040e-01 4.981173373233336577e+01 3.124924003481144297e+00
2.810100436827951409e-01 4.970824878081605647e+01 3.129824148332736478e+00
2.820707313609586153e-01 4.960502396542504044e+01 3.134731608156299920e+00
2.831317143247559787e-01 4.950205916215647051e+01 3.139646320174552141e+00
2.841929900747428017e-01 4.939935423880790211e+01 3.144568221871845815e+00
2.852545561421677700e-01 4.929690905506900123e+01 3.149497250995224817e+00
2.863164100886738672e-01 4.919472346262625706e+01 3.154433345554729762e+00
2.873785495060027229e-01 4.909279730525877028e+01 3.159376443824101433e+00
2.884409720157005141e-01 4.899113041894106146e+01 3.164326484341053902e+00
2.895036752688268100e-01 4.888972263193500822e+01 3.169283405908024154e+00
2.905666569456646919e-01 4.878857376489451525e+01 3.174247147592248464e+00
2.916299147554340943e-01 4.868768363095352214e+01 3.179217648726573753e+00
2.926934464360062549e-01 4.858705203582933763e+01 3.184194848909478015e+00
2.937572497536215521e-01 4.848667877791292113e+01 3.189178688005649409e+00
2.948213225026084516e-01 4.838656364837210333e+01 3.194169106145883230e+00
2.958856625051053402e-01 4.828670643123459172e+01 3.199166043727914577e+00
2.969502676107839689e-01 4.818710690349467995e+01 3.204169441416004904e+00
2.980151356965759502e-01 4.808776483519444156e+01 3.209179240141760037e+00
2.990802646664001418e-01 4.798867998952892577e+01 3.214195381103658544e+00
3.001456524508934187e-01 4.788985212292681126e+01 3.219217805767785823e+00
3.012112970071428308e-01 4.779128098514867418e+01 3.224246455867595618e+00
3.022771963184199828e-01 4.769296631937797315e+01 3.229281273403995733e+00
3.033433483939180775e-01 4.759490786231052084e+01 3.234322200645445733e+00
3.044097512684902362e-01 4.749710534424262676e+01 3.239369180128061743e+00
3.054764030023907617e-01 4.739955848916670078e+01 3.244422154655287827e+00
3.065433016810178435e-01 4.730226701484900786e+01 3.249481067298426229e+00
3.076104454146588174e-01 4.720523063293207144e+01 3.254545861395824691e+00
3.086778323382374234e-01 4.710844904900875463e+01 3.259616480553493734e+00
3.097454606110627284e-01 4.701192196271784240e+01 3.264692868644533785e+00
3.108133284165809918e-01 4.691564906782624433e+01 3.269774969809212006e+00
3.118814339621284737e-01 4.681963005231859398e+01 3.274862728454587923e+00
3.129497754786875197e-01 4.672386459847752604e+01 3.279956089254574714e+00
3.140183512206435879e-01 4.662835238297211049e+01 3.285054997149518652e+00
3.150871594655450525e-01 4.653309307693923103e+01 3.290159397346093861e+00
3.161561985138646169e-01 4.643808634607120212e+01 3.295269235316798717e+00
