sr b Me
0.000000000000000000e+00 8.949080425033169206e+01 2.677246832074709815e+00
9.503540427541970134e-03 8.885129820075447071e+01 2.677736897748031808e+00
2.047257687438019252e-02 8.748247163109401470e+01 2.680057325934411150e+00
3.379395274886642930e-02 8.597142812055233208e+01 2.684634772676828263e+00
4.884765381029322617e-02 8.437130896415507664e+01 2.691796044261100196e+00
6.528554262446024936e-02 8.270740283790944147e+01 2.701780552358764798e+00
8.288944491060375175e-02 8.099650834760879548e+01 2.714764898612371358e+00
1.015072970936760355e-01 7.925145657438135061e+01 2.730874632000184210e+00
1.210251323859946465e-01 7.748284180639436158e+01 2.750190833481003683e+00
1.413531695845907932e-01 7.569981678966402683e+01 2.772754603695335884e+00
1.624181549300836025e-01 7.391049342807245637e+01 2.798570732067362510e+00
1.841588024676522606e-01 7.212215406534265583e+01 2.827611121576715014e+00
2.065229083743577165e-01 7.034136503017374764e+01 2.859818218356426911e+00
2.294654306487488860e-01 6.857403839961622793e+01 2.895108527359973483e+00
2.529471535736557697e-01 6.682546695057367003e+01 2.933376204355111039e+00
2.769337199939456151e-01 6.510034656872818459e+01 2.974496666929469235e+00
3.013949020561594305e-01 6.340279442051467385e+01 3.018330146702310479e+00
3.263040307607503188e-01 6.173636762061701688e+01 3.064725102066478080e+00
3.516375342065162779e-01 6.010408487321676319e+01 3.113521419128533196e+00
3.773745525603531825e-01 5.850845210549131536e+01 3.164553343315900769e+00
4.034966092003276494e-01 5.695149217010431641e+01 3.217652101767566997e+00
4.299873247403517840e-01 5.543477811000111188e+01 3.272648194472075112e+00
4.568321652683214329e-01 5.395946915143574074e+01 3.329373348367991259e+00
4.840182190509807469e-01 5.252634844748133247e+01 3.387662142218916816e+00
5.115339977756724332e-01 5.113586157943836241e+01 3.447353320553204981e+00
5.393692595040405768e-01 4.978815489448557940e+01 3.508290822296911582e+00
5.675148511668868245e-01 4.848311288080184056e+01 3.570324554200475564e+00
5.959625688067100580e-01 4.722039393025716691e+01 3.633310941206278066e+00
6.247050339895009463e-01 4.599946399450439571e+01 3.697113286033637536e+00
6.537355849337300739e-01 4.481962778964447125e+01 3.761601968973427912e+00
6.830481809877730903e-01 4.368005733917994604e+01 3.826654516641550874e+00
7.126373191539662200e-01 4.257981776014256781e+01 3.892155565621629787e+00
7.424979614223654600e-01 4.151789029138668496e+01 3.957996743835871190e+00
7.726254717465750321e-01 4.049319263638317068e+01 4.024076489346501972e+00
8.030155615694632987e-01 3.950459674705901847e+01 4.090299823267105950e+00
8.336642428874466715e-01 3.855094421265132354e+01 4.156578090656723568e+00
8.645677879262970711e-01 3.763105944083620358e+01 4.222828680739382001e+00
8.957226945868164147e-01 3.674376083024880302e+01 4.288974735562705476e+00
9.271256569029893146e-01 3.588787013644338231e+01 4.354944854284461542e+00
9.587735398365613282e-01 3.506222022957799567e+01 4.420672798642379497e+00
9.906633578089650838e-01 3.426566143357074168e+01 4.486097203797321242e+00
1.022792256443187497e+00 3.349706662473426633e+01 4.551161297615231582e+00
1.055157497053972993e+00 3.275533525421471381e+01 4.615812630539714689e+00
1.087756443484442448e+00 3.203939644391186192e+01 4.680002817475528154e+00
1.120586550940801507e+00 3.134821129068274459e+01 4.743687292525525123e+00
1.153645356524504173e+00 3.068077449905018028e+01 4.806825076974873490e+00
1.186930471203356818e+00 3.003611544872060790e+01 4.869378560574319614e+00
1.220439573000009714e+00 2.941329879019784599e+01 4.931313295918885231e+00
1.254170401208520191e+00 2.881142464979083684e+01 4.992597805533719679e+00
1.288120751477652703e+00 2.822962851442467880e+01 5.053203401149643170e+00
1.322288471623767059e+00 2.766708085686949659e+01 5.113104014566642874e+00
1.356671458056962987e+00 2.712298655327938945e+01 5.172276039453510776e+00
1.391267652722010251e+00 2.659658413722622683e+01 5.230698183408159174e+00
1.426075040470870858e+00 2.608714492764568860e+01 5.288351329599685791e+00
1.461091646796652377e+00 2.559397206220770116e+01 5.345218407324700216e+00
1.496315535869926272e+00 2.511639946250282662e+01 5.401284270832138468e+00
1.531744808827756765e+00 2.465379075301105516e+01 5.456535585800145860e+00
1.567377602273779313e+00 2.420553815201807524e+01 5.510960722882685126e+00
1.603212086954410198e+00 2.377106134939181104e+01 5.564549657780047731e+00
1.639246466581980144e+00 2.334980638335384739e+01 5.617293877326048346e+00
1.675478976780392593e+00 2.294124452603027464e+01 5.669186291122464638e+00
1.711907884132958912e+00 2.254487118557727499e+01 5.720221148288329616e+00
1.748531485315465650e+00 2.216020483098980165e+01 5.770393958929272316e+00
1.785348106300389093e+00 2.178678594430746074e+01 5.819701419964845357e+00
1.822356101620576485e+00 2.142417600375131670e+01 5.868141344985051688e+00
1.859553853682714974e+00 2.107195650034625700e+01 5.915712597837870845e+00
1.896939772122584467e+00 2.072972798978440778e+01 5.962415029676608746e+00
1.934512293195503663e+00 2.039710918061442868e+01 6.008249419222676302e+00
1.972269879196541176e+00 2.007373605930299831e+01 6.053217416022631525e+00
2.010211017906034847e+00 1.975926105227624063e+01 6.097321486499702736e+00
2.048334222056769960e+00 1.945335222469580572e+01 6.140564862619748432e+00
2.086638028819844948e+00 1.915569251544480167e+01 6.182951493009125166e+00
2.125120999306796765e+00 1.886597900757973889e+01 6.224485996377879360e+00
2.163781718086029926e+00 1.858392223333807536e+01 6.265173617115621596e+00
2.202618792711950491e+00 1.830924551266520695e+01 6.305020182940222817e+00
2.241630853265535794e+00 1.804168432413085199e+01 6.344032064491084810e+00
2.280816551905312739e+00 1.778098570704807457e+01 6.382216136768046333e+00
2.320174562427933740e+00 1.752690769356506451e+01 6.419579742326531502e+00
2.359703579837683751e+00 1.727921876948294511e+01 6.456130656146940261e+00
2.399402319924425431e+00 1.703769736254822575e+01 6.491877052103319556e+00
2.439269518849560114e+00 1.680213135697643168e+01 6.526827470962479616e+00
2.479303932739700844e+00 1.657231763298279859e+01 6.560990789849841853e+00
2.519504337287794105e+00 1.634806163012185110e+01 6.594376193122965191e+00
2.559869527361505526e+00 1.612917693326685864e+01 6.626993144598070096e+00
2.600398316618709682e+00 1.591548488010035456e+01 6.658851361077860354e+00
2.641089537129973408e+00 1.570681418902149673e+01 6.689960787132648079e+00
2.681942039007916723e+00 1.550300060642295286e+01 6.720331571088670408e+00
2.722954690043388748e+00 1.530388657232455607e+01 6.749974042181013267e+00
2.764126375348382680e+00 1.510932090340304335e+01 6.778898688829260166e+00
2.805455997005634305e+00 1.491915849249383719e+01 6.807116137996759520e+00
2.846942473724842770e+00 1.473326002368594345e+01 6.834637135595691859e+00
2.888584740505470094e+00 1.455149170217614518e+01 6.861472527901012697e+00
2.930381748306063017e+00 1.437372499808259541e+01 6.887633243938714678e+00
2.972332463720045226e+00 1.419983640346726439e+01 6.913130278813572005e+00
3.014435868657927564e+00 1.402970720184864639e+01 6.937974677943532953e+00
3.056690960035874038e+00 1.386322324952537244e+01 6.962177522168591537e+00
3.099096749470569456e+00 1.370027476807103461e+01 6.985749913702201219e+00
3.141652262980323851e+00 1.354075614738732902e+01 7.008702962895282162e+00
3.184356540692337756e+00 1.338456575874572074e+01 7.031047775782012010e+00
3.227211646331450634e+00 1.330772169541522487e+01 7.041990760450742570e+00
