sr b Me
2.686477689203918828e-01 6.038020322884122493e+01 3.253233891401337008e+00
2.707631095737567106e-01 6.020093138103946018e+01 3.259208074419793544e+00
2.728807429039340482e-01 6.002210816815940575e+01 3.265214134103012089e+00
2.750006394475639215e-01 5.984373665430813105e+01 3.271251857988809242e+00
2.771227701082419892e-01 5.966581983114733134e+01 3.277321033165849329e+00
2.792471061529175347e-01 5.948836061842445133e+01 3.283421446313787406e+00
2.813736192083231002e-01 5.931136186451401215e+01 3.289552883742662637e+00
2.835022812574329309e-01 5.913482634696090656e+01 3.295715131431809830e+00
2.856330646359520609e-01 5.895875677303511253e+01 3.301907975067984502e+00
2.877659420288324332e-01 5.878315578028834665e+01 3.308131200082977674e+00
2.899008864668171093e-01 5.860802593711698449e+01 3.314384591690614279e+00
2.920378713230110113e-01 5.843336974333353595e+01 3.320667934923004605e+00
2.941768703094780890e-01 5.825918963074168033e+01 3.326981014666233083e+00
2.963178574738634108e-01 5.808548796371433554e+01 3.333323615695515940e+00
2.984608071960407893e-01 5.791226703978016843e+01 3.339695522709587028e+00
3.006056941847841113e-01 5.773952909021583935e+01 3.346096520364439275e+00
3.027524934744631468e-01 5.756727628063737257e+01 3.352526393306636709e+00
3.049011804217625077e-01 5.739551071160189366e+01 3.358984926205785815e+00
3.070517307024233644e-01 5.722423441921058185e+01 3.365471903786493524e+00
3.092041203080083678e-01 5.705344937571558006e+01 3.371987110859709258e+00
3.113583255426881080e-01 5.688315749013221989e+01 3.378530332353387511e+00
3.135143230200502229e-01 5.671336060885423080e+01 3.385101353342560238e+00
3.156720896599298221e-01 5.654406051627181995e+01 3.391699959078816828e+00
3.178316026852613940e-01 5.637525893539157806e+01 3.398325935019216093e+00
3.199928396189513635e-01 5.620695752846472004e+01 3.404979066854400660e+00
3.221557782807729087e-01 5.603915789761302335e+01 3.411659140536276613e+00
3.243203967842800961e-01 5.587186158545477355e+01 3.418365942305220173e+00
3.264866735337433878e-01 5.570507007574273928e+01 3.425099258716286954e+00
3.286545872211052988e-01 5.553878479399776324e+01 3.431858876665085489e+00
3.308241168229568152e-01 5.537300710813992310e+01 3.438644583413252409e+00
3.329952415975331870e-01 5.520773832913197765e+01 3.445456166612895998e+00
3.351679410817305360e-01 5.504297971161896896e+01 3.452293414330690258e+00
3.373421950881421716e-01 5.487873245456409421e+01 3.459156115071592819e+00
3.395179837021145008e-01 5.471499770189466005e+01 3.466044057801630274e+00
3.416952872788236450e-01 5.455177654314663727e+01 3.472957031970204334e+00
3.438740864403709852e-01 5.438907001410339603e+01 3.479894827532113322e+00
3.460543620728988579e-01 5.422687909744126245e+01 3.486857234968755659e+00
3.482360953237258472e-01 5.406520472337781058e+01 3.493844045308681867e+00
3.504192675985021155e-01 5.390404777031339734e+01 3.500855050147890335e+00
