y_bar r2
9.999999999999999547e-07 1.269555423564566863e-18
3.403747905880405347e-03 5.006376353047850187e-08
6.806495811760810560e-03 4.003321825159724089e-07
1.020924371764121534e-02 1.350912944752032488e-06
1.361199162352162012e-02 3.201892770878789089e-06
1.701473952940202664e-02 6.253322578455678601e-06
2.041748743528243315e-02 1.080520073961653637e-05
2.382023534116283620e-02 1.715745478943773292e-05
2.722298324704324271e-02 2.560992181074739851e-05
3.062573115292364923e-02 3.646232765569331247e-05
3.402847905880405227e-02 5.001426512627671952e-05
3.743122696468445532e-02 6.656517121164162232e-05
4.083397487056486530e-02 8.641430346324360486e-05
4.423672277644526835e-02 1.098607155771170465e-04
4.763947068232567139e-02 1.372032322436577301e-04
5.104221858820608138e-02 1.687404233186482426e-04
5.444496649408648442e-02 2.047705773640692937e-04
5.784771439996688747e-02 2.455916746031353709e-04
6.125046230584729745e-02 2.915013593307088507e-04
6.465321021172769356e-02 3.427969118175807251e-04
6.805595811760810354e-02 3.997752197449147018e-04
7.145870602348851353e-02 4.627327492033407380e-04
7.486145392936890963e-02 5.319655152896702200e-04
7.826420183524931962e-02 6.077690523329317990e-04
8.166694974112972960e-02 6.904383837803408728e-04
8.506969764701012571e-02 7.802679917729055158e-04
8.847244555289053569e-02 8.775517864395664244e-04
9.187519345877094568e-02 9.825830749380832802e-04
9.527794136465134178e-02 1.095654530270289426e-03
9.868068927053175177e-02 1.217058159898802127e-03
1.020834371764121618e-01 1.347085274191796691e-03
1.054861850822925579e-01 1.486026454722061321e-03
1.088889329881729678e-01 1.634171522446136067e-03
1.122916808940533778e-01 1.791809505789016032e-03
1.156944287999337739e-01 1.959228608659564080e-03
1.190971767058141839e-01 2.136716178421474086e-03
1.224999246116945939e-01 2.324558673844356188e-03
1.259026725175750039e-01 2.523041633059210261e-03
1.293054204234553861e-01 2.732449641542321946e-03
1.327081683293357961e-01 2.953066300151320749e-03
1.361109162352162061e-01 3.185174193236896354e-03
1.395136641410966161e-01 3.429054856853409796e-03
1.429164120469770261e-01 3.684988747091362451e-03
1.463191599528574360e-01 3.953255208554434276e-03
1.497219078587378183e-01 4.234132443003519111e-03
1.531246557646182282e-01 4.527897478189904686e-03
1.565274036704986382e-01 4.834826136899466990e-03
1.599301515763790482e-01 5.155193006229455942e-03
1.633328994822594582e-01 5.489271407119141778e-03
1.667356473881398682e-01 5.837333364155249463e-03
1.701383952940202504e-01 6.199649575672870269e-03
1.735411431999006604e-01 6.576489384172037531e-03
1.769438911057810704e-01 6.968120747070006074e-03
1.803466390116614804e-01 7.374810207808781340e-03
1.837493869175418904e-01 7.796822867337066879e-03
1.871521348234223003e-01 8.234422355985529171e-03
1.905548827293026826e-01 8.687870805753707126e-03
1.939576306351830925e-01 9.157428823026697584e-03
1.973603785410635025e-01 9.643355461739047327e-03
