S_bar/Re^(1/3),-         Sr_bar, -                 rho, kg/m3                T, K                    u, m/s                   mu, Pa s                 a, m/s                   M, -                     p, Pa                  
0.000000000000000000e+00 0.000000000000000000e+00 1.272375147903545816e-03 1.559072999579679845e+03 2.060940653057868531e+03 5.375981175230984562e-05 7.915567749433272411e+02 2.603654871383577873e+00 5.694443430229910064e+02
4.982761011228782708e-04 1.733951719199565075e-02 1.272376178914531603e-03 1.559071736257231123e+03 2.060941268924057113e+03 5.375978709073914066e-05 7.915564542426139951e+02 2.603656704304218472e+00 5.694443430229910064e+02
1.073369648064998816e-03 3.735220578319407153e-02 1.272381064010114863e-03 1.559065750460469189e+03 2.060944186980867471e+03 5.375967024065341485e-05 7.915549347164439951e+02 2.603665388958951166e+00 5.694443430229910064e+02
1.771994362228327454e-03 6.166365723488778650e-02 1.272390720874275617e-03 1.559053917863828246e+03 2.060949955321796551e+03 5.375943925315472137e-05 7.915519309406154207e+02 2.603682556712018314e+00 5.694443430229910064e+02
2.561869334570190167e-03 8.915052773015016974e-02 1.272405884448801630e-03 1.559035338234039727e+03 2.060959012780334433e+03 5.375907655297407483e-05 7.915472143668384888e+02 2.603709513940874576e+00 5.694443430229910064e+02
3.425012970866685071e-03 1.191870755135925747e-01 1.272427140723092921e-03 1.559009294084462454e+03 2.060971709080674827e+03 5.375856813104827185e-05 7.915406028232642939e+02 2.603747302070933411e+00 5.694443430229910064e+02
4.350293301142458928e-03 1.513859190023266466e-01 1.272454984605242293e-03 1.558975179815918864e+03 2.060988339376720887e+03 5.375790216099017994e-05 7.915319425232548838e+02 2.603796800425612457e+00 5.694443430229910064e+02
5.330071318237666715e-03 1.854812282765962439e-01 1.272489849072468713e-03 1.558932466045665024e+03 2.061009161637338366e+03 5.375706830249496059e-05 7.915210990070896742e+02 2.603858778019608966e+00 5.694443430229910064e+02
6.358722539102994696e-03 2.212772768700709547e-01 1.272532121696081644e-03 1.558880679403700242e+03 2.061034406491586651e+03 5.375605730670280453e-05 7.915079520103220148e+02 2.603933922908596266e+00 5.694443430229910064e+02
7.431897782692192984e-03 2.586227175691224178e-01 1.272582155026235522e-03 1.558819389850491461e+03 2.061064283407502444e+03 5.375486076840144204e-05 7.914923922416331834e+02 2.604022860624394031e+00 5.694443430229910064e+02
8.546112060129869639e-03 2.973962761958749423e-01 1.272640273599683070e-03 1.558748202130693471e+03 2.061098984854771516e+03 5.375347095897835048e-05 7.914743192107533787e+02 2.604126166607741766e+00 5.694443430229910064e+02
9.698496567303930421e-03 3.374981211948716586e-01 1.272706778920557145e-03 1.558666749708924954e+03 2.061138689257563328e+03 5.375188070783468478e-05 7.914536396865721599e+02 2.604244375038575754e+00 5.694443430229910064e+02
1.088663941887929934e-02 3.788443213337325810e-01 1.272781953143210798e-03 1.558574690294508855e+03 2.061183563172885442e+03 5.375008331482538786e-05 7.914302665587066485e+02 2.604377985359738634e+00 5.694443430229910064e+02
1.210847822765427455e-02 4.213631075706357199e-01 1.272866061881495906e-03 1.558471702435338557e+03 2.061233762947865216e+03 5.374807248357684706e-05 7.914041179705578770e+02 2.604527467248468398e+00 5.694443430229910064e+02
1.336222474462648961e-02 4.649922506028906222e-01 1.272959356406342096e-03 1.558357482860115624e+03 2.061289436012319584e+03 5.374584226942004996e-05 7.913751166424192434e+02 2.604693264501147798e+00 5.694443430229910064e+02
1.464631026149569061e-02 5.096771609278498705e-01 1.273062075400974895e-03 1.558231744361568644e+03 2.061350721907700517e+03 5.374338703789011026e-05 7.913431893319866504e+02 2.604875798132277431e+00 5.694443430229910064e+02
1.595934498117838191e-02 5.553694749768647299e-01 1.273174446387521095e-03 1.558094214081348127e+03 2.061417753120326324e+03 5.374070143107249680e-05 7.913082663969012174e+02 2.605075468889855639e+00 5.694443430229910064e+02
1.730008709050006449e-02 6.020259788754587227e-01 1.273296686903917794e-03 1.557944632099958199e+03 2.061490655766004238e+03 5.373778033990900678e-05 7.912702814347886715e+02 2.605292659327429483e+00 5.694443430229910064e+02
1.866741875756026264e-02 6.496077731752893936e-01 1.273429005487368339e-03 1.557782750262866784e+03 2.061569550159609207e+03 5.373461888111916043e-05 7.912291709833133382e+02 2.605527735532752409e+00 5.694443430229910064e+02
2.006032718820626240e-02 6.980796136381051120e-01 1.273571602505382643e-03 1.557608331192541755e+03 2.061654551294110206e+03 5.373121237775583473e-05 7.911848742674850428e+02 2.605781048586000459e+00 5.694443430229910064e+02
2.147788945445048420e-02 7.474093832796244730e-01 1.273724670864952516e-03 1.557421147449020282e+03 2.061745769247278531e+03 5.372755634266488506e-05 7.911373329847284595e+02 2.606052935801826287e+00 5.694443430229910064e+02
2.291926018567530532e-02 7.975676640355958691e-01 1.273888396623016478e-03 1.557220980810665651e+03 2.061843309529888302e+03 5.372364646429537147e-05 7.910864911205140970e+02 2.606343721796390955e+00 5.694443430229910064e+02
2.438366146708258880e-02 8.485273852377978043e-01 1.274062959516049582e-03 1.557007621653277056e+03 2.061947273386052075e+03 5.371947859443412858e-05 7.910322947890085743e+02 2.606653719411081482e+00 5.694443430229910064e+02
2.587037446398724599e-02 9.002635321477103769e-01 1.274248533422690744e-03 1.556780868410529592e+03 2.062057758053995713e+03 5.371504873753213399e-05 7.909746920944219255e+02 2.606983230517619710e+00 5.694443430229910064e+02
2.737873241261602059e-02 9.527529020432216056e-01 1.274445286770421347e-03 1.556540527102258011e+03 2.062174856993839512e+03 5.371035304135941742e-05 7.909136330096275742e+02 2.607332546724146827e+00 5.694443430229910064e+02
