y_bar r2
2.211796138822263447e-01 5.529218862509083232e-01
2.245823617881067547e-01 5.611168833122281985e-01
2.279851096939871369e-01 5.692966380798921699e-01
2.313878575998675469e-01 5.774608980336423114e-01
2.347906055057479568e-01 5.856094123403023932e-01
2.381933534116283668e-01 5.937419319307718490e-01
2.415961013175087768e-01 6.018582095757272210e-01
2.449988492233891868e-01 6.099579999600006630e-01
2.484015971292695690e-01 6.180410597556198482e-01
2.518043450351499790e-01 6.261071476934856328e-01
2.552070929410303890e-01 6.341560246336603868e-01
2.586098408469107435e-01 6.421874536342508932e-01
2.620125887527911535e-01 6.502012000188621688e-01
2.654153366586715634e-01 6.581970314425998891e-01
2.688180845645519734e-01 6.661747179566036570e-01
2.722208324704323834e-01 6.741340320710900169e-01
2.756235803763127934e-01 6.820747488168854566e-01
2.790263282821932034e-01 6.899966458054357377e-01
2.824290761880736134e-01 6.978995032872651327e-01
2.858318240939540233e-01 7.057831042088803519e-01
2.892345719998344333e-01 7.136472342680942882e-01
2.926373199057148433e-01 7.214916819677605897e-01
2.960400678115952533e-01 7.293162386678984088e-01
2.994428157174756078e-01 7.371206986362055513e-01
3.028455636233560178e-01 7.449048590969377104e-01
3.062483115292364277e-01 7.526685202781433492e-01
3.096510594351168377e-01 7.604114854572572302e-01
3.130538073409972477e-01 7.681335610050258333e-01
3.164565552468776577e-01 7.758345564277704387e-01
3.198593031527580677e-01 7.835142844079728830e-01
3.232620510586384777e-01 7.911725608431876555e-01
3.266647989645188876e-01 7.988092048832640124e-01
3.300675468703992976e-01 8.064240389658874353e-01
3.334702947762797076e-01 8.140168888504278888e-01
3.368730426821600621e-01 8.215875836500992069e-01
3.402757905880404721e-01 8.291359558624319392e-01
3.436785384939208821e-01 8.366618413980517754e-01
3.470812863998012920e-01 8.441650796077783125e-01
3.504840343056817020e-01 8.516455133080366169e-01
3.538867822115621120e-01 8.591029888045923490e-01
3.572895301174425220e-01 8.665373559146156701e-01
3.606922780233229320e-01 8.739484679870764827e-01
3.640950259292033420e-01 8.813361819214851067e-01
3.674977738350837519e-01 8.887003581849799438e-01
3.709005217409641619e-01 8.960408608277807829e-01
3.743032696468445719e-01 9.033575574970145183e-01
3.777060175527249264e-01 9.106503194489138364e-01
3.811087654586053364e-01 9.179190215594272839e-01
3.845115133644857464e-01 9.251635423332316144e-01
3.879142612703661563e-01 9.323837639111690612e-01
3.913170091762465663e-01 9.395795720761297432e-01
3.947197570821269763e-01 9.467508562573839770e-01
3.981225049880073863e-01 9.538975095334077947e-01
4.015252528938877963e-01 9.610194286331722457e-01
4.049280007997682063e-01 9.681165139359709793e-01
4.083307487056486162e-01 9.751886694697792235e-01
4.117334966115290262e-01 9.822358029081407205e-01
4.151362445174094362e-01 9.892578255656595543e-01
4.185389924232897907e-01 9.962546523920653430e-01
4.219417403291702007e-01 1.003226201964917630e+00
4.253444882350506107e-01 1.010172396480938151e+00
4.287472361409310206e-01 1.017093161746006169e+00
4.321499840468114306e-01 1.023988427163871950e+00
4.355527319526918406e-01 1.030858125723546959e+00
4.389554798585722506e-01 1.037702193985468480e+00
4.423582277644526606e-01 1.044520572066421904e+00
4.457609756703330706e-01 1.051313203623241987e+00
4.491637235762134805e-01 1.058080035835368804e+00
4.525664714820938905e-01 1.064821019386217094e+00
4.559692193879742450e-01 1.071536108443446711e+00
4.593719672938546550e-01 1.078225260638122851e+00
4.627747151997350650e-01 1.084888437042822451e+00
4.661774631056154750e-01 1.091525602148687657e+00
4.695802110114958849e-01 1.098136723841476758e+00
4.729829589173762949e-01 1.104721773376645677e+00
4.763857068232567049e-01 1.111280725353444243e+00
4.797884547291371149e-01 1.117813557688132731e+00
4.831912026350175249e-01 1.124320251586275354e+00
4.865939505408979349e-01 1.130800791514172454e+00
